Date,Day,Slot Time,Venue,Court,Status,Price,Last checked
2026-09-25,Fri,12:00 am to 12:30 am,Anandmay Sports Club | Sector 128,Court 2,Not Booked,250,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Crickdome,Court 2,Not Booked,400,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Dinking Zone One29,Court 1,Not Booked,400,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Dinking Zone One29,Court 2,Not Booked,400,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Dinking Zone One29,Court 3,Not Booked,400,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Pickleflow Social,Court 2,Not Booked,500,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Pickleflow Social,Court 3,Not Booked,500,25 Sep 00:33
2026-09-25,Fri,12:00 am to 1:00 am,Pickleplay 121 | Indoor Arena,Court 1,Not Booked,700,25 Sep 00:33
2026-09-25,Fri,12:00 am to 1:00 am,Pickleplay 121 | Indoor Arena,Court 2,Not Booked,700,25 Sep 00:33
2026-09-25,Fri,12:00 am to 1:00 am,Pickleplay 121 | Indoor Arena,Court 3,Not Booked,700,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Sky Nine Rackets,Court 1,Not Booked,405,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Sky Nine Rackets,Court 2,Not Booked,405,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Sky Nine Rackets,Court 3,Not Booked,405,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,Sky Nine Rackets,Court 4,Not Booked,405,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,The Box Cage,Court 1,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,The Box Cage,Court 2,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,The Box Cage,Court 3,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,12:00 am to 12:30 am,The Box Cage,Court 4,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Anandmay Sports Club | Sector 128,Court 1,Not Booked,250,25 Sep 01:03
2026-09-25,Fri,12:30 am to 1:00 am,Anandmay Sports Club | Sector 128,Court 2,Not Booked,250,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Crickdome,Court 2,Not Booked,400,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Dinking Zone One29,Court 1,Not Booked,400,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Dinking Zone One29,Court 2,Not Booked,400,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Dinking Zone One29,Court 3,Not Booked,400,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Heat Sports Arena 150,Court 1,Not Booked,350,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Pickleflow Social,Court 1,Not Booked,500,25 Sep 01:03
2026-09-25,Fri,12:30 am to 1:00 am,Pickleflow Social,Court 2,Not Booked,500,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Pickleflow Social,Court 3,Not Booked,500,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Pitch Please X TSG Sports Arena,Court 1,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Sky Nine Rackets,Court 1,Not Booked,405,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Sky Nine Rackets,Court 2,Not Booked,405,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Sky Nine Rackets,Court 3,Not Booked,405,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,Sky Nine Rackets,Court 4,Not Booked,405,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,The Box Cage,Court 1,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,The Box Cage,Court 2,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,The Box Cage,Court 3,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,12:30 am to 1:00 am,The Box Cage,Court 4,Not Booked,300,25 Sep 00:33
2026-09-25,Fri,1:00 am to 1:30 am,Anandmay Sports Club | Sector 128,Court 1,Not Booked,250,25 Sep 01:03
