Date,Day,Slot Time,Tennis (Clay Courts),Last checked
18 Sep 2026,Fri,9:00 am to 10:00 am,Filling Fast,18 Sep 07:20
18 Sep 2026,Fri,10:00 am to 11:00 am,Filling Fast,18 Sep 07:20
18 Sep 2026,Fri,11:00 am to 12:00 pm,Filling Fast,18 Sep 07:20
18 Sep 2026,Fri,12:00 pm to 1:00 pm,Filling Fast,18 Sep 07:20
18 Sep 2026,Fri,1:00 pm to 2:00 pm,Filling Fast,18 Sep 07:20
18 Sep 2026,Fri,2:00 pm to 3:00 pm,Filling Fast,18 Sep 07:20
18 Sep 2026,Fri,3:00 pm to 4:00 pm,Filling Fast,18 Sep 07:20
18 Sep 2026,Fri,4:00 pm to 5:00 pm,,
18 Sep 2026,Fri,5:00 pm to 6:00 pm,,
18 Sep 2026,Fri,6:00 pm to 7:00 pm,,
18 Sep 2026,Fri,7:00 pm to 8:00 pm,,
18 Sep 2026,Fri,8:00 pm to 9:00 pm,,
