Date,Day,Slot Time,Tennis (Acrylic Court),Last checked
19 Sep 2026,Sat,5:00 am to 6:00 am,,
19 Sep 2026,Sat,6:00 am to 7:00 am,Not Booked,19 Sep 06:54
19 Sep 2026,Sat,7:00 am to 8:00 am,,
19 Sep 2026,Sat,8:00 am to 9:00 am,,
19 Sep 2026,Sat,9:00 am to 10:00 am,,
19 Sep 2026,Sat,10:00 am to 11:00 am,,
19 Sep 2026,Sat,11:00 am to 12:00 pm,,
19 Sep 2026,Sat,12:00 pm to 1:00 pm,,
19 Sep 2026,Sat,1:00 pm to 2:00 pm,,
19 Sep 2026,Sat,2:00 pm to 3:00 pm,,
19 Sep 2026,Sat,3:00 pm to 4:00 pm,Not Booked,19 Sep 15:53
19 Sep 2026,Sat,4:00 pm to 5:00 pm,Booked,19 Sep 16:52
19 Sep 2026,Sat,5:00 pm to 6:00 pm,Booked,19 Sep 16:52
19 Sep 2026,Sat,6:00 pm to 7:00 pm,Booked,19 Sep 16:52
19 Sep 2026,Sat,7:00 pm to 8:00 pm,Booked,19 Sep 16:52
19 Sep 2026,Sat,8:00 pm to 9:00 pm,Not Booked,19 Sep 16:52
