Date,Day,Slot Time,Pickleball (Indoor),Last checked
24 Sep 2026,Thu,5:00 am to 6:00 am,Not Booked,24 Sep 05:27
24 Sep 2026,Thu,6:00 am to 7:00 am,Not Booked,24 Sep 06:37
24 Sep 2026,Thu,7:00 am to 8:00 am,Not Booked,24 Sep 07:32
24 Sep 2026,Thu,8:00 am to 9:00 am,Not Booked,24 Sep 08:32
24 Sep 2026,Thu,9:00 am to 10:00 am,Not Booked,24 Sep 09:31
24 Sep 2026,Thu,10:00 am to 11:00 am,Not Booked,24 Sep 10:31
24 Sep 2026,Thu,11:00 am to 12:00 pm,Not Booked,24 Sep 11:03
24 Sep 2026,Thu,12:00 pm to 1:00 pm,Not Booked,24 Sep 12:36
24 Sep 2026,Thu,1:00 pm to 2:00 pm,Not Booked,24 Sep 13:31
24 Sep 2026,Thu,2:00 pm to 3:00 pm,Not Booked,24 Sep 14:33
24 Sep 2026,Thu,3:00 pm to 4:00 pm,Not Booked,24 Sep 15:30
24 Sep 2026,Thu,4:00 pm to 5:00 pm,Not Booked,24 Sep 16:31
24 Sep 2026,Thu,5:00 pm to 6:00 pm,Filling Fast,24 Sep 16:31
24 Sep 2026,Thu,6:00 pm to 7:00 pm,Filling Fast,24 Sep 16:31
24 Sep 2026,Thu,7:00 pm to 8:00 pm,Filling Fast,24 Sep 16:31
24 Sep 2026,Thu,8:00 pm to 9:00 pm,Filling Fast,24 Sep 16:31
24 Sep 2026,Thu,9:00 pm to 10:00 pm,Filling Fast,24 Sep 16:31
24 Sep 2026,Thu,10:00 pm to 11:00 pm,Not Booked,24 Sep 16:31
24 Sep 2026,Thu,11:00 pm to 12:00 am,Not Booked,24 Sep 16:31
