Date,Day,Slot Time,Pickleball (Indoor),Last checked
19 Sep 2026,Sat,5:00 am to 6:00 am,Not Booked,19 Sep 05:27
19 Sep 2026,Sat,6:00 am to 7:00 am,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,7:00 am to 8:00 am,Not Booked,19 Sep 07:31
19 Sep 2026,Sat,8:00 am to 9:00 am,Not Booked,19 Sep 08:31
19 Sep 2026,Sat,9:00 am to 10:00 am,Not Booked,19 Sep 09:30
19 Sep 2026,Sat,10:00 am to 11:00 am,Not Booked,19 Sep 10:31
19 Sep 2026,Sat,11:00 am to 12:00 pm,Not Booked,19 Sep 11:30
19 Sep 2026,Sat,12:00 pm to 1:00 pm,Not Booked,19 Sep 12:33
19 Sep 2026,Sat,1:00 pm to 2:00 pm,Not Booked,19 Sep 13:30
19 Sep 2026,Sat,2:00 pm to 3:00 pm,Not Booked,19 Sep 14:06
19 Sep 2026,Sat,3:00 pm to 4:00 pm,Not Booked,19 Sep 14:06
19 Sep 2026,Sat,4:00 pm to 5:00 pm,Not Booked,19 Sep 14:06
19 Sep 2026,Sat,5:00 pm to 6:00 pm,Filling Fast,19 Sep 14:06
19 Sep 2026,Sat,6:00 pm to 7:00 pm,Filling Fast,19 Sep 14:06
19 Sep 2026,Sat,7:00 pm to 8:00 pm,Filling Fast,19 Sep 14:06
19 Sep 2026,Sat,8:00 pm to 9:00 pm,Filling Fast,19 Sep 14:06
19 Sep 2026,Sat,9:00 pm to 10:00 pm,Filling Fast,19 Sep 14:06
19 Sep 2026,Sat,10:00 pm to 11:00 pm,Not Booked,19 Sep 14:06
19 Sep 2026,Sat,11:00 pm to 12:00 am,Not Booked,19 Sep 14:06
