Venue,File to use in IMPORTDATA,Courts,Rows
Anandmay Sports Club | Sector 128,output/venues/anandmay-sports-club-sector-128.csv,2,48
Arena 44,output/venues/arena-44.csv,5,34
CoPlay RISE | Sec 73 Noida,output/venues/coplay-rise-sec-73-noida.csv,2,38
CoPlay | Sec 50 Noida,output/venues/coplay-sec-50-noida.csv,1,34
Crickdome,output/venues/crickdome.csv,2,48
Dinking Zone One29,output/venues/dinking-zone-one29.csv,1,48
Downtown Pickleball | Sector 37,output/venues/downtown-pickleball-sector-37.csv,1,17
Heat Sports Arena 150,output/venues/heat-sports-arena-150.csv,2,48
Noida Indoor Stadium,output/venues/noida-indoor-stadium.csv,2,18
Noida Pickleball Courts | Sec-100,output/venues/noida-pickleball-courts-sec-100.csv,2,36
Pickit | Vijay Sri Academy,output/venues/pickit-vijay-sri-academy.csv,2,18
Pickle Pros | Noida,output/venues/pickle-pros-noida.csv,4,38
Pickleflow Social,output/venues/pickleflow-social.csv,3,48
Pickleplay 121 | Indoor Arena,output/venues/pickleplay-121-indoor-arena.csv,3,24
Pitch Please X TSG Sports Arena,output/venues/pitch-please-x-tsg-sports-arena.csv,2,48
PlayAll BSIC Noida 46,output/venues/playall-bsic-noida-46.csv,3,36
PlayAll MPS Noida 11,output/venues/playall-mps-noida-11.csv,2,38
PlayAll Noida 105,output/venues/playall-noida-105.csv,2,38
PlayAll Noida 73,output/venues/playall-noida-73.csv,3,38
PlayLife | Sector 163,output/venues/playlife-sector-163.csv,3,34
Rally N Roast | Sector 141,output/venues/rally-n-roast-sector-141.csv,3,36
Sky Nine Rackets,output/venues/sky-nine-rackets.csv,4,48
Spodium Arena | Sector 29,output/venues/spodium-arena-sector-29.csv,3,38
Spuddy Multisports Academy | Noida,output/venues/spuddy-multisports-academy-noida.csv,1,19
The Box Cage,output/venues/the-box-cage.csv,3,48
Zyng Gallant Sports Arena,output/venues/zyng-gallant-sports-arena.csv,1,36
